DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2020-05-27,56.921,58.081,55.78,58.054,19.89
2020-05-26,58.164,58.584,56.739,56.94,20.93
2020-05-22,56.611,56.921,56.099,56.862,14.10
2020-05-21,57.629,58.273,56.465,56.611,20.99
2020-05-20,55.862,57.989,55.734,57.634,30.58
2020-05-19,54.921,56.419,54.665,55.067,21.87
2020-05-18,54.62,55.058,54.218,54.729,20.44
2020-05-15,52.428,53.314,52.026,53.231,21.37
2020-05-14,52.354,54.026,51.24,53.962,21.57
2020-05-13,53.387,54.099,51.971,52.738,21.06
2020-05-12,55.003,55.387,53.213,53.332,16.75
2020-05-11,54.565,55.57,54.537,54.921,18.68
2020-05-08,54.50,54.601,53.935,54.501,20.39
2020-05-07,54.738,54.891,53.816,54.044,14.73
2020-05-06,53.925,54.757,53.834,54.053,17.85
2020-05-05,53.396,53.859,52.996,53.359,17.25
2020-05-04,51.879,52.742,51.143,52.669,18.96
2020-05-01,53.432,53.877,52.051,52.197,21.19
2020-04-30,55.736,55.893,54.267,54.476,26.28
2020-04-29,53.986,56.338,53.877,56.129,30.45
2020-04-28,54.485,54.694,52.914,53.359,28.78
2020-04-27,54.23,54.34,53.028,54.013,25.90
2020-04-24,51.043,53.95,50.952,53.822,50.22
2020-04-23,54.198,54.585,53.414,53.623,35.09
2020-04-22,52.923,54.949,52.505,54.585,23.44
2020-04-21,52.778,53.223,50.798,51.188,25.25
2020-04-20,53.84,54.531,53.486,53.75,26.42
2020-04-17,56.329,56.429,54.336,54.821,27.39
2020-04-16,54.14,55.366,53.414,55.212,24.43
2020-04-15,54.258,54.34,53.028,53.468,22.84
2020-04-14,54.507,55.312,54.049,55.094,25.67
2020-04-13,51.379,53.377,51.379,53.314,23.25
2020-04-09,53.913,54.24,50.916,51.897,40.52
2020-04-08,53.577,54.049,52.596,53.568,26.72
2020-04-07,54.44,55.848,52.869,53.041,41.41
2020-04-06,51.434,53.377,50.97,53.069,32.32
2020-04-03,48.909,50.071,47.892,49.163,23.91
2020-04-02,46.584,49.554,46.52,49.363,27.81
2020-04-01,47.683,49.672,46.711,47.12,29.59
2020-03-31,50.008,50.675,48.337,49.154,48.08
2020-03-30,48.128,50.952,47.982,50.398,31.63
2020-03-27,48.518,49.626,47.288,47.565,31.63
2020-03-26,46.992,50.816,46.92,50.444,41.48
2020-03-25,47.665,48.85,45.33,46.556,41.11
2020-03-24,48.264,49.626,46.638,47.592,50.02
2020-03-23,41.797,45.857,41.70,45.031,46.70
2020-03-20,42.242,44.885,41.298,41.625,52.34
2020-03-19,43.45,44.713,41.016,41.725,44.54
2020-03-18,42.424,45.457,41.053,43.241,49.31
2020-03-17,41.557,46.893,41.053,45.485,52.09
2020-03-16,43.151,47.456,39.627,40.517,53.88
2020-03-13,43.832,49.953,43.359,49.436,48.81
2020-03-12,43.559,45.495,41.207,41.361,50.66
2020-03-11,47.583,48.627,46.329,46.92,38.57
2020-03-10,47.919,49.045,45.803,49.027,36.57
2020-03-09,47.156,47.873,45.412,46.184,56.20
2020-03-06,50.117,50.871,49.535,50.653,36.26
2020-03-05,51.824,53.277,51.416,51.733,29.10
2020-03-04,51.779,53.323,51.007,53.296,29.22
2020-03-03,52.705,53.604,50.317,50.834,49.74
2020-03-02,50.671,52.878,49.517,52.841,43.14
2020-02-28,49.318,51.207,48.682,50.426,60.73
2020-02-27,52.614,53.141,50.68,50.707,42.23
2020-02-26,54.594,55.239,53.831,54.177,26.22
2020-02-25,56.302,56.565,54.004,54.249,34.50
2020-02-24,55.96,57.01,55.693,56.093,26.90
2020-02-21,59.199,59.263,58.164,58.436,20.78
2020-02-20,60.888,61.116,58.636,59.444,26.45
2020-02-19,60.298,61.034,60.107,60.952,13.55
2020-02-18,60.471,60.571,59.835,60.071,12.77
2020-02-14,61.324,61.638,60.689,61.097,13.41
2020-02-13,60.843,61.443,60.615,61.252,11.60
2020-02-12,61.397,61.842,61.134,61.27,15.59
2020-02-11,60.698,61.497,60.462,61.225,17.98
2020-02-10,59.544,60.307,59.435,60.298,22.30
2020-02-07,60.725,61.125,59.953,59.962,18.13
2020-02-06,61.125,61.215,60.643,60.934,17.41
2020-02-05,60.274,61.096,59.768,60.861,23.40
2020-02-04,59.442,59.704,58.674,59.162,20.97
2020-02-03,58.254,58.782,58.114,58.222,16.65
2020-01-31,59.469,59.632,57.544,57.779,25.27
2020-01-30,59.325,60.102,58.683,60.075,18.52
2020-01-29,61.123,61.512,59.804,59.948,18.08
2020-01-28,60.102,61.078,59.596,60.834,30.92
2020-01-27,60.301,60.934,59.289,59.37,30.76
2020-01-24,60.165,62.624,60.066,61.882,84.71
2020-01-23,56.812,57.576,56.767,57.228,42.78
2020-01-22,55.167,56.803,55.104,56.695,29.48
2020-01-21,54.056,55.357,54.038,54.724,28.31
2020-01-17,54.209,54.227,53.541,53.866,21.80
2020-01-16,53.559,54.083,53.387,53.92,21.37
2020-01-15,53.595,53.911,53.098,53.269,18.50
